'snails	'con oc sen
't is	khong la
-ably	-co le
-ana	- co ay
-ant	- tren
-arch	-sao
-ard	- cao
-art	-my thuat
-barrelled	-cua lo
-cies	- tien te
-ee	- cua
-ency	-thoi gian
-esprits	-cong linh
-ferous	-chinh
-fish	-ca
-fishes	-ca ca
-fy	-cua toi
-genous	- chi
-gerous	- ong gia
-graphy	-mach
-grave	-phan mo
-head	-cai dau
-hood	-mui xe
-ible	-co the
-ide	- anh ay dang di
-in	-trong
-ine	- voi
-ish	-cong viec
-ism	-chu nghia
-itis	-no la
-ive	-toi co
-ize	- hoi
-less	-it hon
-let	-de cho
-ling	- gi
-lite	-mot chut
-logy	-tinh hoc
-mere	-hon
-nies	- moi nguoi
-prossing	-sang lai
-retted	-nhieu
-scope	-pham vi
-ses	-cua anh
-ship	-van chuyen
-some	-mot so
-staves	-cua hang
-strucken	-lac
-tre	-so ba
-trixes	-toc
-tyla	- im lang
-type	-loai hinh
-ums	- doanh so
-uret	- dong ho
-vetted	-thich
-vetting	-tham muon
-ward	-khu vuc
-wards	-tren
-ways	-luon
-women	-nhung nguoi phu nu
a fortiori	tu mot manh me hon
a mensa et thoro	tu cai ban va cai ban
a posteriori	trong hau qua
a-mornings	mot buoi sang
a-sea	mot vung bien
a-tiptoe	kieng chan
aard-wolf	thien nhien-soi
aaron's rod	que cua aaron
abacination	su mai mon
abaction	su pha binh
abalone	bao ngu
abanga	ho co the
abasing	hau het trong so ho
abated	nguoi ngoai
abater	ban ha
abating	lam diu di
abaxial	thuoc ve mat tru
abb wool	len abb
abbess	vien truong
abbotship	tru tri
abbreviator	nguoi viet tat
abbreviature	cac tu viet tat
abderian	badran
abdicable	co the thoai thac
abdicant	hay de ho tu chuc
abdicative	thoai vi
abdicator	nguoi thoai vi
abdominales	abs
abductor	nguoi bat coc
abeam	suon tau
abelian	nguoi abelian
abelonian	nguoi abelonian
aber-de-vine	aber-de-dam
aberration	quang sai
abetment	su tiep tay
abettal	thai nghen
abhorrer	nguoi ghe tom
abider	nguoi tiep tay
abietin	ho roi
abietine	cay linh sam
abiogenist	ke bao hanh
abit	tiep tay
abject	kho so
ablactate	sau khi cai sua
ablaqueation	su boc me
ablative	boc me
ablaut	cuon troi
able-bodied	co the hinh
ablutionary	loi canh bao
abnormal	khac thuong
aboard	cai bang
abolishable	co the bai bo
abolisher	nguoi bai bo
abolitionism	chu nghia bai no
abolitionist	nguoi theo chu nghia bai no
abominable	dang ghe tom
aborsive	tren tau
abort	huy bo
